"id"	"id_3char"	"name"
"aftgo"	"tgo"	"Togo"
"aftun"	"tun"	"Tunisia"
"aftza"	"tza"	"Tanzania"
"afuga"	"uga"	"Uganda"
"afzaf"	"zaf"	"South Africa"
"afzmb"	"zmb"	"Zambia"
"afzwe"	"zwe"	"Zimbabwe"
"anata"	"ata"	"Antarctica"
"anatf"	"atf"	"French South Antarctic Territory"
"anbvt"	"bvt"	"Bouvet Island"
"anhmd"	"hmd"	"Heard Island and McDonald Islands"
"ansgs"	"sgs"	"South Georgia South Sandwich Islands"
"asafg"	"afg"	"Afghanistan"
"asare"	"are"	"United Arab Emirates"
"asarm"	"arm"	"Armenia"
"asaze"	"aze"	"Azerbaijan"
"asbgd"	"bgd"	"Bangladesh"
"asbhr"	"bhr"	"Bahrain"
"asbrn"	"brn"	"Brunei"
"asbtn"	"btn"	"Bhutan"
"ascck"	"cck"	"Cocos (Keeling) Islands"
"aschn"	"chn"	"China"
"ascxr"	"cxr"	"Christmas Island"
"ascyp"	"cyp"	"Cyprus"
"asgeo"	"geo"	"Georgia"
"ashkg"	"hkg"	"Hong Kong"
"asidn"	"idn"	"Indonesia"
"asind"	"ind"	"India"
"asiot"	"iot"	"British Indian Ocean Territory"
"asirn"	"irn"	"Iran"
"asirq"	"irq"	"Iraq"
"asisr"	"isr"	"Israel"
"asjor"	"jor"	"Jordan"
"asjpn"	"jpn"	"Japan"
"askaz"	"kaz"	"Kazakhstan"
"askgz"	"kgz"	"Kyrgyzstan"
"askhm"	"khm"	"Cambodia"
"askor"	"kor"	"South Korea"
"askwt"	"kwt"	"Kuwait"
"aslao"	"lao"	"Laos"
"aslbn"	"lbn"	"Lebanon"
"aslka"	"lka"	"Sri Lanka"
"asmac"	"mac"	"Macau"
"asmdv"	"mdv"	"Maldives"
"asmid"	"mid"	"Midway"
"asmmr"	"mmr"	"Burma"
"asmng"	"mng"	"Mongolia"
"asmys"	"mys"	"Malaysia"
"asnpl"	"npl"	"Nepal"
"asomn"	"omn"	"Oman"
"aspak"	"pak"	"Pakistan"
"asphl"	"phl"	"Philippines"
"asprk"	"prk"	"North Korea"
"aspse"	"pse"	"Palestine"
"asqat"	"qat"	"Qatar"
"assau"	"sau"	"Saudi Arabia"
"assgp"	"sgp"	"Singapore"
"assyr"	"syr"	"Syria"
"astha"	"tha"	"Thailand"
"astjk"	"tjk"	"Tajikistan"
"astkm"	"tkm"	"Turkmenistan"
"astls"	"tls"	"Timor-Leste"
"astur"	"tur"	"Turkey"
"astwn"	"twn"	"Taiwan"
"asuzb"	"uzb"	"Uzbekistan"
"asvnm"	"vnm"	"Vietnam"
"asyar"	"yar"	"Yemen Arab Republic"
"asyem"	"yem"	"Yemen"
"asymd"	"ymd"	"Democratic Yemen"
"eualb"	"alb"	"Albania"
"euand"	"and"	"Andorra"
"euaut"	"aut"	"Austria"
"eubel"	"bel"	"Belgium"
"eubgr"	"bgr"	"Bulgaria"
"eubih"	"bih"	"Bosnia and Herzegovina"
"eublr"	"blr"	"Belarus"
"eublx"	"blx"	"Belgium-Luxembourg"
"euche"	"che"	"Switzerland"
"euchi"	"chi"	"Channel Islands"
"eucsk"	"csk"	"Czechoslovakia"
"eucze"	"cze"	"Czech Republic"
"euddr"	"ddr"	"Democratic Republic of Germany"
"eudeu"	"deu"	"Germany"
"eudnk"	"dnk"	"Denmark"
"euesp"	"esp"	"Spain"
"euest"	"est"	"Estonia"
"eufdr"	"fdr"	"Federal Republic of Germany"
"eufin"	"fin"	"Finland"
"eufra"	"fra"	"France"
"eufro"	"fro"	"Faroe Islands"
"eugbr"	"gbr"	"United Kingdom"
"eugib"	"gib"	"Gibraltar"
"eugrc"	"grc"	"Greece"
"euhrv"	"hrv"	"Croatia"
"euhun"	"hun"	"Hungary"
"euimn"	"imn"	"Isle of Man"
"euirl"	"irl"	"Ireland"
"euisl"	"isl"	"Iceland"
"euita"	"ita"	"Italy"
"euksv"	"ksv"	"Kosovo"
"eulie"	"lie"	"Liechtenstein"
"eultu"	"ltu"	"Lithuania"
"eulux"	"lux"	"Luxembourg"
"eulva"	"lva"	"Latvia"
"eumco"	"mco"	"Monaco"
"eumda"	"mda"	"Moldova"
"eumkd"	"mkd"	"Macedonia"
"eumlt"	"mlt"	"Malta"
"eumne"	"mne"	"Montenegro"
"eunld"	"nld"	"Netherlands"
"eunor"	"nor"	"Norway"
"eupol"	"pol"	"Poland"
"euprt"	"prt"	"Portugal"
"eurou"	"rou"	"Romania"
"eurus"	"rus"	"Russia"
"euscg"	"scg"	"Serbia and Montenegro"
"eusjm"	"sjm"	"Svalbard"
"eusmr"	"smr"	"San Marino"
"eusrb"	"srb"	"Serbia"
"eusun"	"sun"	"USSR"
"eusvk"	"svk"	"Slovakia"
"eusvn"	"svn"	"Slovenia"
"euswe"	"swe"	"Sweden"
"euukr"	"ukr"	"Ukraine"
"euvat"	"vat"	"Holy See (Vatican City)"
"euyug"	"yug"	"Yugoslavia"
"naabw"	"abw"	"Aruba"
"naaia"	"aia"	"Anguilla"
"naant"	"ant"	"Netherlands Antilles"
"naatg"	"atg"	"Antigua and Barbuda"
"nabes"	"bes"	"Bonaire"
"nabhs"	"bhs"	"Bahamas"
"nablm"	"blm"	"Saint Barthélemy"
"nablz"	"blz"	"Belize"
"nabmu"	"bmu"	"Bermuda"
"nabrb"	"brb"	"Barbados"
"nacan"	"can"	"Canada"
"nacri"	"cri"	"Costa Rica"
"nacub"	"cub"	"Cuba"
"nacuw"	"cuw"	"Curaçao"
"nacym"	"cym"	"Cayman Islands"
"nadma"	"dma"	"Dominica"
"nadom"	"dom"	"Dominican Republic"
"nagrd"	"grd"	"Grenada"
"nagrl"	"grl"	"Greenland"
"nagtm"	"gtm"	"Guatemala"
"nahnd"	"hnd"	"Honduras"
"nahti"	"hti"	"Haiti"
"najam"	"jam"	"Jamaica"
"nakna"	"kna"	"Saint Kitts and Nevis"
"nalca"	"lca"	"Saint Lucia"
"namaf"	"maf"	"Saint Maarten"
"namex"	"mex"	"Mexico"
"namsr"	"msr"	"Montserrat"
"namtq"	"mtq"	"Martinique"
"nanaa"	"naa"	"Netherland Antilles and Aruba"
"nanic"	"nic"	"Nicaragua"
"napan"	"pan"	"Panama"
"napci"	"pci"	"Pacific Island (US)"
"napcz"	"pcz"	"Panama Canal Zone"
"napri"	"pri"	"Puerto Rico"
"naslv"	"slv"	"El Salvador"
"naspm"	"spm"	"Saint Pierre and Miquelon"
"natca"	"tca"	"Turks and Caicos Islands"
"natto"	"tto"	"Trinidad and Tobago"
"naumi"	"umi"	"United States Minor Outlying Islands"
"nausa"	"usa"	"United States"
"navct"	"vct"	"Saint Vincent and the Grenadines"
"navgb"	"vgb"	"British Virgin Islands"
"navir"	"vir"	"Virgin Islands"
"ocasm"	"asm"	"American Samoa"
"ocaus"	"aus"	"Australia"
"occok"	"cok"	"Cook Islands"
"ocfji"	"fji"	"Fiji"
"ocfsm"	"fsm"	"Micronesia"
"ocglp"	"glp"	"Guadeloupe"
"ocgum"	"gum"	"Guam"
"ockir"	"kir"	"Kiribati"
"ocmhl"	"mhl"	"Marshall Islands"
"ocmnp"	"mnp"	"Northern Mariana Islands"
"ocncl"	"ncl"	"New Caledonia"
"ocnfk"	"nfk"	"Norfolk Island"
"ocniu"	"niu"	"Niue"
"ocnru"	"nru"	"Nauru"
"ocnzl"	"nzl"	"New Zealand"
"ocpcn"	"pcn"	"Pitcairn Islands"
"ocplw"	"plw"	"Palau"
"ocpng"	"png"	"Papua New Guinea"
"ocpyf"	"pyf"	"French Polynesia"
"ocslb"	"slb"	"Solomon Islands"
"octkl"	"tkl"	"Tokelau"
"octon"	"ton"	"Tonga"
"octuv"	"tuv"	"Tuvalu"
"ocvut"	"vut"	"Vanuatu"
"ocwlf"	"wlf"	"Wallis and Futuna"
"ocwsm"	"wsm"	"Samoa"
"saarg"	"arg"	"Argentina"
"sabol"	"bol"	"Bolivia"
"sabra"	"bra"	"Brazil"
"sachl"	"chl"	"Chile"
"sacol"	"col"	"Colombia"
"saecu"	"ecu"	"Ecuador"
"saflk"	"flk"	"Falkland Islands"
"saguf"	"guf"	"French Guiana"
"saguy"	"guy"	"Guyana"
"saper"	"per"	"Peru"
"sapry"	"pry"	"Paraguay"
"sasur"	"sur"	"Suriname"
"saury"	"ury"	"Uruguay"
"saven"	"ven"	"Venezuela"
"xxwld"	"wld"	"World"
"xxxxh"	"xxa"	"Areas"
